OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
"290","27897","56","1","2467",Woodland,,226.996351844345,1262848506.99878,250563.523857377
"291","27909","683","31","40958",Elizabeth City,,166.756189267054,6356628470.42627,720925.199090358
"292","27910","496","29","11609",Ahoskie,,427.25471616849,3854004911.8667,558805.248838311
"293","27915","10","0","758",Avon,,131.926121372032,132797325.68457,159985.858445685
"294","27916","2","0","554",Aydlett,,36.101083032491,175446906.710938,88834.9392660151
"295","27917","4","0","1084",Barco,,36.90036900369,583346697.773926,150643.300800981
"296","27919","19","1","1211",Belvidere,,156.895127993394,1805677755.21484,260299.205087965
"297","27920","28","0","1415",Buxton,,197.879858657244,251417477.481567,169552.58818934
"298","27921","54","3","5366",Camden,,100.633619083116,2216306760.15601,371309.805402765
"299","27922","29","0","1107",Cofield,,261.96928635953,1372106941.59424,230585.938382193
"300","27923","2","0","990",Coinjock,,20.2020202020202,442853112.258789,222994.427279021
"301","27924","85","1","3509",Colerain,,242.23425477344,2545571117.46045,325068.518729581
"302","27925","115","3","4164",Columbia,,276.176753121998,9421043776.67224,822613.133571787
"303","27926","16","0","1965",Corapeake,,81.4249363867685,1084179276.0813,176947.978129327
"304","27927","5","0","613",Corolla,,81.5660685154975,685869287.21875,1266393.74615984
"305","27928","48","1","1888",Creswell,,254.237288135593,3736346955.86023,344143.792077436
"306","27929","8","0","1949",Currituck,,41.0466906105695,352573124.774658,146317.944454099
"307","27932","298","3","12644",Edenton,,235.684909838659,3509551689.6084,391797.495792958
"308","27935","21","2","1674",Eure,,125.448028673835,1443577833.21069,213483.780281898
"309","27936","10","1","961",Frisco,,104.058272632674,134638106.065186,108288.074251882
"310","27937","66","1","4253",Gates,,155.184575593699,2407949124.70361,290137.740864669
"311","27938","17","0","1430",Gatesville,,118.881118881119,1202645918.03784,229961.178585235
"312","27939","13","0","3370",Grandy,,38.5756676557863,296874050.40332,237784.484514939
"313","27941","5","0","670",Harbinger,,74.6268656716418,66348159.842041,42125.3614314887
"314","27942","24","0","936",Harrellsville,,256.410256410256,927451831.666504,150762.800286803
"315","27943","8","0","491",Hatteras,,162.932790224033,82146889.1915283,162150.406610954
"316","27944","160","1","12230",Hertford,,130.825838103025,5013940953.42065,828274.577378666
"317","27946","16","0","1089",Hobbsville,,146.92378328742,1234977495.96777,250163.996071758
"318","27947","6","0","845",Jarvisburg,,71.0059171597633,181991023.044922,117825.87149715
"319","27948","101","0","12518",Kill Devil Hills,,80.6838153059594,288939959.776123,266090.270790261
"320","27949","45","0","7235",Kitty Hawk,,62.1976503109883,426732703.740967,296487.581606319
"321","27950","7","0","2183",Knotts Island,,32.0659642693541,1009906812.90234,393684.159837613
"322","27953","7","0","992",Manns Harbor,,70.5645161290323,4841742826.08521,775886.839802653
"323","27954","51","0","6405",Manteo,,79.6252927400468,346159524.466309,171104.045001834
"324","27956",,,"328",Maple,Population <500 and Cases <5,,91616147.3259277,62675.9008746753
"325","27957","41","1","1419",Merry Hill,,288.935870331219,1345289022.66797,219570.3989813
"326","27958","112","3","12061",Moyock,,92.8612884503772,2191273226.67993,258895.732965411
"327","27959","21","1","2451",Nags Head,,85.6793145654835,464337538.219238,468359.824712585
"328","27960","4","0","899",Ocracoke,,44.4938820912125,272996211.932129,221416.979930584
"329","27962","99","3","7439",Plymouth,,133.082403548864,2248894843.11377,323982.422404071
"330","27964","3","0","653",Point Harbor,,45.9418070444104,40700993.1791992,29044.1496807834
"331","27965","0","0","611",Poplar Branch,,0,362463348.010742,286670.577035681
