Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
267712.4974,750,3,3508,28773,,1396855034,Saluda,20
87465.25454,115,1,21278,27403,,159396286,Greensboro,19
335082.8948,156,1,26567,27539,,805959451.6,Apex,19
217897.0885,242,0,2912,27832,,1029571545,Gaston,19
325068.5187,301,0,3509,27924,,2545571117,Colerain,19
391797.4958,307,1,12644,27932,,3509551690,Edenton,19
535483.3415,381,0,40052,28092,,3216596916,Lincolnton,19
304211.5608,411,0,26078,28152,,2247420971,Shelby,19
488036.1731,462,1,22382,28326,,3242119865,Cameron,19
414618.7195,488,0,5153,28366,,2293381130,Newton Grove,19
547729.0605,594,0,52400,28540,,3283488394,Jacksonville,19
130741.0258,140,0,22765,27518,,262665807.6,Cary,18
213730.176,149,0,30234,27527,,1261348608,Clayton,18
412640.541,171,0,5312,27563,,1943381371,Norlina,18
418206.141,223,1,5254,27809,,2127311816,Battleboro,18
500329.9388,233,1,9119,27822,,2421416079,Elm City,18
391038.4226,352,0,13436,28021,,1626380588,Cherryville,18
197029.7937,360,1,18554,28036,,669928559.5,Davidson,18
312689.3894,361,0,23834,28037,,1521729515,Denver,18
40761.72653,424,1,8738,28204,,48899100.55,Charlotte,18
626246.0184,516,1,34974,28409,,678530052.1,Wilmington,18
560208.0324,537,0,22483,28443,,4337834720,Hampstead,18
473699.2378,45,0,3806,27207,,2300194679,Bear Creek,17
200836.3479,256,0,5595,27851,,1253082834,Lucama,17
828274.5774,316,1,12230,27944,,5013940953,Hertford,17
272689.0936,395,1,24318,28120,,1001654680,Mount Holly,17
579453.8157,410,1,29296,28150,,3159764943,Shelby,17
42602.52206,412,0,3126,28159,,51886096.13,Spencer,17
429757.0954,599,0,51963,28546,,2766403023,Jacksonville,17
616313.551,623,1,4170,28585,,5857263272,Trenton,17
354883.6969,726,0,21994,28739,,1809199501,Hendersonville,17
344366.0732,186,0,18655,27596,,1519151285,Youngsville,16
200611.3805,194,0,30296,27607,,519162282.9,Raleigh,16
612371.0917,610,1,22687,28570,,4050945832,Newport,16
395176.6949,612,0,6379,28572,,3042675126,Pink Hill,16
472387.4216,755,1,17610,28779,,3287520335,Sylva,16
566348.9741,9,0,9499,27017,,2962951682,Dobson,15
154538.5899,25,0,9583,27045,,666085549.3,Rural Hall,15
263836.4855,83,1,1585,27305,,687167820.5,Milton,15
239783.0245,120,1,17953,27409,,603872824.6,Greensboro,15
421324.4761,147,0,15534,27525,,2660281051,Franklinton,15
370404.1692,271,1,4466,27871,,2640265625,Robersonville,15
323982.4224,329,0,7439,27962,,2248894843,Plymouth,15
36157.3958,427,0,9761,28207,,68333859.79,Charlotte,15
269142.265,473,1,3814,28344,,1128755315,Godwin,15
212896.0446,515,0,33719,28405,,694443662.2,Wilmington,15
319569.804,629,0,31218,28602,,1938678920,Hickory,15
